AuthorID,Author,Date,Content,Attachments,Reactions
"1292652323226779772","eb1120","2026-01-18T19:15:48.2320000+00:00","Joined the server.","",""
"1292652323226779772","eb1120","2026-01-18T19:15:52.6970000+00:00","","",""
"978288890928590899","mafi43211","2026-01-18T19:16:17.8840000+00:00","Joined the server.","",""
"1292652323226779772","eb1120","2026-01-18T19:16:25.8240000+00:00","","",""
"978288890928590899","mafi43211","2026-01-18T19:16:31.7310000+00:00","","",""
"846666693883199539",".szymk.","2026-01-18T19:16:56.6430000+00:00","Joined the server.","",""
"846666693883199539",".szymk.","2026-01-18T19:16:59.6980000+00:00","","",""
"846666693883199539",".szymk.","2026-01-18T19:17:02.7410000+00:00","","",""
"846666693883199539",".szymk.","2026-01-18T19:17:04.9010000+00:00","","",""
"978288890928590899","mafi43211","2026-01-18T19:17:24.7170000+00:00","do i invite fisher?","",""
"978288890928590899","mafi43211","2026-01-18T19:17:29.4360000+00:00","he on our side?","",""
"1154255244981698652","kzi_2","2026-01-18T19:17:41.7930000+00:00","No clue","",""
"1154255244981698652","kzi_2","2026-01-18T19:17:45.1230000+00:00","But sure","",""
"1154255244981698652","kzi_2","2026-01-18T19:17:47.5880000+00:00","He is on our side","",""
"1195410543280930827","diaxmc","2026-01-18T19:23:26.6960000+00:00","Joined the server.","",""
"1195410543280930827","diaxmc","2026-01-18T19:23:29.0230000+00:00","","",""
"846666693883199539",".szymk.","2026-01-18T19:23:32.3750000+00:00","","",""
"1195410543280930827","diaxmc","2026-01-18T19:23:51.3470000+00:00","Dobryy vechor(Idk Russian I’m sorry)","",""
"1195410543280930827","diaxmc","2026-01-18T19:23:54.7480000+00:00","Smth like that","",""
"1195410543280930827","diaxmc","2026-01-18T19:23:57.5270000+00:00","Good evening","",""
"1154255244981698652","kzi_2","2026-01-18T19:24:32.4350000+00:00","Alright","",""
"1154255244981698652","kzi_2","2026-01-18T19:24:36.8600000+00:00","Everybody.","",""
"1154255244981698652","kzi_2","2026-01-18T19:24:53.8100000+00:00","Attack RRR as fast as you possibly can","",""
"1154255244981698652","kzi_2","2026-01-18T19:25:03.2400000+00:00","Well, except for sibir","",""
"978288890928590899","mafi43211","2026-01-18T19:25:15.6110000+00:00","so, my plan is for you to put all these forces and attack their cities in a blitcs","assets/image-15F60.png",""
"1195410543280930827","diaxmc","2026-01-18T19:25:27.7280000+00:00","Who you?","",""
"978288890928590899","mafi43211","2026-01-18T19:25:33.3330000+00:00","am sibir","",""
"1195410543280930827","diaxmc","2026-01-18T19:25:39.5020000+00:00","Ah","",""
